big_type_code,big_type_name,middle_type_code,middle_type_name,small_type_code,small_item_name,item_code,item_name
1,鲜果类,104,桃类,10408,水蜜桃,103953,B级-红玉脆桃（小）
1,鲜果类,105,柑桔类,10506,脐橙,103961,A级-伦晚脐橙（大）
1,鲜果类,105,柑桔类,10506,脐橙,103962,A级-伦晚脐橙（中）
1,鲜果类,105,柑桔类,10524,赣南脐橙,103971,A级-赣南鲜橙（大）
1,鲜果类,105,柑桔类,10524,赣南脐橙,103972,A级-赣南鲜橙（中）
1,鲜果类,105,柑桔类,10524,赣南脐橙,103973,A级-赣南鲜橙（小）
1,鲜果类,105,柑桔类,10524,赣南脐橙,103975,A级-赣南鲜橙（箱）
1,鲜果类,105,柑桔类,10524,赣南脐橙,103981,B级-赣南鲜橙（大）
1,鲜果类,105,柑桔类,10524,赣南脐橙,103982,B级-赣南鲜橙（中）
1,鲜果类,105,柑桔类,10524,赣南脐橙,103983,B级-赣南鲜橙（小）
1,鲜果类,105,柑桔类,10552,纽荷尔脐橙,103991,B级-纽荷尔脐橙（大）
1,鲜果类,105,柑桔类,10552,纽荷尔脐橙,103992,B级-纽荷尔脐橙（中）
1,鲜果类,105,柑桔类,10552,纽荷尔脐橙,103993,B级-纽荷尔脐橙（小）
1,鲜果类,105,柑桔类,10503,青柠檬,104001,A级-台湾青柠檬
1,鲜果类,105,柑桔类,10501,进口甜橙,104010,特级新奇士橙
1,鲜果类,105,柑桔类,10501,进口甜橙,104011,新奇士橙A
1,鲜果类,105,柑桔类,10501,进口甜橙,104012,新奇士橙B
1,鲜果类,105,柑桔类,10501,进口甜橙,104013,新奇士橙C
1,鲜果类,105,柑桔类,10582,非称重柑桔类,104015,新奇士礼袋
1,鲜果类,105,柑桔类,10558,不知火,104021,A级-不知火（大）
1,鲜果类,105,柑桔类,10558,不知火,104022,A级-不知火（中）
1,鲜果类,105,柑桔类,10558,不知火,104023,A级-不知火（小）
1,鲜果类,105,柑桔类,10508,夏橙,104024,不知火中(包膜)
1,鲜果类,105,柑桔类,10558,不知火,104025,A级-不知火大（件装）
1,鲜果类,105,柑桔类,10558,不知火,104026,不知火礼盒
1,鲜果类,105,柑桔类,10555,泰国红心柚,104031,A级-泰国红肉柚（大）
1,鲜果类,105,柑桔类,10555,泰国红心柚,104032,A级-泰国红肉柚（中）
1,鲜果类,105,柑桔类,10555,泰国红心柚,104033,A级-泰国红肉柚（小）
1,鲜果类,105,柑桔类,10559,台湾碰柑,104041,台湾椪柑A
1,鲜果类,105,柑桔类,10559,台湾碰柑,104042,台湾椪柑B
1,鲜果类,105,柑桔类,10559,台湾碰柑,104043,台湾椪柑C
1,鲜果类,105,柑桔类,10560,葡萄柚,104051,台湾葡萄柚A
1,鲜果类,105,柑桔类,10560,葡萄柚,104052,台湾葡萄柚B
1,鲜果类,105,柑桔类,10560,葡萄柚,104053,台湾葡萄柚C
1,鲜果类,105,柑桔类,10511,南非橙,104061,南非橙A
1,鲜果类,105,柑桔类,10511,南非橙,104062,B级-南非橙（中）
1,鲜果类,105,柑桔类,10511,南非橙,104063,南非橙C
1,鲜果类,105,柑桔类,10550,南非脐橙,104070,特级南非脐橙
