big_type_code,big_type_name,middle_type_code,middle_type_name,small_type_code,small_item_name
1,鲜果类,107,葡萄类,10726,有籽珍珠红
1,鲜果类,105,柑桔类,10542,潮州柑
1,鲜果类,110,瓜类,11063,翠蜜香瓜
2,加工食品类,2,加工食品类,207,停用-水果罐头
1,鲜果类,103,李类,10301,进口黑布朗
1,鲜果类,112,杂果类,11221,菠萝
1,鲜果类,105,柑桔类,10546,带叶贡柑
1,鲜果类,107,葡萄类,10709,青提
1,鲜果类,103,李类,10302,进口桃布李
1,鲜果类,105,柑桔类,10530,广西脐橙
1,鲜果类,108,芒果类,10824,凯特芒
1,鲜果类,101,苹果类,10109,花牛
1,鲜果类,107,葡萄类,10729,慕斯卡美人葡萄
1,鲜果类,101,苹果类,10103,进口加力果
1,鲜果类,105,柑桔类,10531,蜜桔
1,鲜果类,112,杂果类,11282,无花果
1,鲜果类,108,芒果类,10811,象牙芒果
1,鲜果类,105,柑桔类,10503,青柠檬
1,鲜果类,110,瓜类,11048,阳光木瓜
1,鲜果类,103,李类,10314,安哥诺布朗
1,鲜果类,106,荔果类,10619,澳洲荔枝
1,鲜果类,105,柑桔类,10567,南非柑
1,鲜果类,112,杂果类,11278,无籽山竹
2,加工食品类,208,水果雕刻类,20801,水果雕刻
1,鲜果类,105,柑桔类,10573,红肉蜜柚
1,鲜果类,112,杂果类,11246,人心果
1,鲜果类,112,杂果类,11238,广西平柿
1,鲜果类,110,瓜类,11038,红肉木瓜
1,鲜果类,103,李类,10305,蜜思李
1,鲜果类,102,梨类,10206,水晶鸭梨
1,鲜果类,108,芒果类,10828,桂七青芒
1,鲜果类,107,葡萄类,10713,白马奶葡萄
1,鲜果类,105,柑桔类,10517,绿橙
1,鲜果类,102,梨类,10209,新高梨
1,鲜果类,102,梨类,10205,贡梨
2,加工食品类,203,果饮类,20302,鲜果鸡尾酒类
1,鲜果类,101,苹果类,10110,西兰果
1,鲜果类,112,杂果类,11261,有机番石榴
